epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1316,2.1663,5.32717,2.10365,0,0,0,0,1.13345,3.86126,1.37066,0.000105,0.000105,0.000105
2,12.6058,1.515,5.02289,1.58416,0.04306,0.12222,0.04228,0.02922,0.85398,3.71075,1.14688,0.000108575,0.000108575,0.000108575
1,12.8495,2.1663,5.32717,2.10365,0,0,0,0,1.13345,3.86126,1.37066,0.000105,0.000105,0.000105
2,18.0197,1.48034,4.91148,1.52461,0.21202,0.37222,0.15422,0.09377,1.01904,3.69893,1.23941,0.00017243,0.00017243,0.00017243
3,22.6993,1.37204,4.03118,1.30613,0.11629,0.7381,0.40783,0.22311,0.95583,3.69006,1.1689,0.0001963,0.0001963,0.0001963
4,27.6516,1.31127,3.55381,1.31,0.87247,0.31727,0.63615,0.48214,0.85665,3.09755,1.03446,0.00017661,0.00017661,0.00017661
5,32.1217,1.30267,3.27227,1.26969,0.94772,0.24246,0.58694,0.45134,0.86537,3.17239,1.05896,0.000104,0.000104,0.000104
1,44.4238,2.20633,6.10761,2.38911,0,0,0,0,1.08432,4.03771,1.5716,0.000105,0.000105,0.000105
2,49.3638,1.42247,5.32146,1.67965,0.04949,0.30556,0.17062,0.12885,0.9293,3.80132,1.2138,0.000193715,0.000193715,0.000193715
3,53.8879,1.22923,4.32302,1.34906,0.10406,0.89683,0.52852,0.37699,0.94511,3.52017,1.14232,0.00026065,0.00026065,0.00026065
4,58.2815,1.22002,3.71685,1.31901,0.99379,0.16667,0.63291,0.50176,0.83723,3.31739,1.07449,0.000305805,0.000305805,0.000305805
5,62.6759,1.16177,3.30243,1.26822,0.95693,0.2805,0.73911,0.55715,0.87651,3.04829,1.11368,0.000302,0.000302,0.000302
6,67.0857,1.11879,3.03815,1.21592,0.75988,0.44707,0.80762,0.65495,0.81473,2.2408,1.02952,0.0002525,0.0002525,0.0002525
7,71.4533,1.06224,2.69851,1.19702,0.68791,0.67889,0.8036,0.62418,0.89341,2.13158,1.01857,0.000203,0.000203,0.000203
8,75.8224,1.05885,2.57633,1.17797,0.76918,0.73932,0.8318,0.65216,0.83463,2.00107,1.00541,0.0001535,0.0001535,0.0001535
9,80.173,1.00571,2.50832,1.14168,0.68204,0.84504,0.85151,0.68207,0.82311,1.75661,0.99623,0.000104,0.000104,0.000104
10,84.5502,0.95339,2.28253,1.12403,0.74684,0.8373,0.90362,0.72308,0.80621,1.51645,1.00738,5.45e-05,5.45e-05,5.45e-05
